Stock,VaR Method,95% VaR (Rs),99% VaR (Rs)
HDFC Bank,Standard Parametric,26044.250542810943,36233.24456905899
HDFC Bank,Normal Regime,21180.261149106187,29392.11866029882
HDFC Bank,High-Vol Regime,41833.082208770924,58187.83261004585
HDFC Bank,GARCH-MC,23497.389525722545,37653.347049121214
Nestle India,Standard Parametric,20227.582020305836,28859.080206726976
Nestle India,Normal Regime,18623.392782747465,26001.29349484314
Nestle India,High-Vol Regime,23247.89388850891,35235.64926488847
Nestle India,GARCH-MC,21171.696715301547,35755.50059459723
